iter	Passed	Remaining
711	33691	13628
712	33735	13579
713	33779	13530
714	33830	13484
715	33875	13436
716	33918	13387
717	33965	13340
718	34003	13289
719	34052	13242
720	34097	13194
721	34145	13147
722	34190	13099
723	34233	13050
724	34271	12999
725	34313	12950
726	34363	12904
727	34411	12857
728	34460	12810
729	34500	12760
730	34544	12712
731	34590	12664
732	34633	12615
733	34679	12567
734	34723	12519
735	34767	12471
736	34815	12423
737	34862	12376
738	34906	12328
739	34951	12280
740	34998	12232
741	35038	12183
742	35088	12136
743	35141	12091
744	35188	12044
745	35234	11996
746	35285	11950
747	35337	11905
748	35386	11858
749	35436	11812
750	35479	11763
751	35528	11716
752	35572	11668
753	35618	11620
754	35657	11571
755	35703	11523
756	35748	11475
757	35796	11428
758	35844	11381
759	35890	11333
760	35945	11289
761	35994	11242
762	36039	11194
763	36088	11147
764	36135	11100
765	36179	11052
766	36219	11002
767	36262	10954
768	36309	10907
769	36355	10859
770	36399	10811
771	36442	10762
772	36487	10714
773	36532	10667
774	36583	10621
775	36625	10572
776	36672	10525
777	36711	10475
778	36760	10428
779	36805	10380
780	36852	10333
781	36898	10286
782	36941	10237
783	36981	10188
784	37026	10140
785	37071	10093
786	37119	10046
787	37171	10000
788	37216	9952
789	37261	9905
790	37309	9858
791	37358	9811
792	37402	9763
793	37442	9714
794	37487	9666
795	37527	9617
796	37575	9570
797	37624	9524
798	37670	9476
799	37710	9427
800	37750	9378
801	37797	9331
802	37845	9284
803	37891	9237
804	37932	9188
805	37982	9142
806	38032	9095
807	38077	9048
808	38123	9000
809	38169	8953
810	38213	8905
811	38262	8858
812	38309	8811
813	38351	8763
814	38396	8715
815	38441	8668
816	38481	8619
817	38503	8566
818	38552	8520
819	38599	8473
820	38643	8425
821	38688	8377
822	38729	8329
823	38772	8281
824	38818	8234
825	38864	8186
826	38909	8139
827	38953	8091
828	38995	8043
829	39042	7996
830	39089	7949
831	39137	7902
832	39178	7854
833	39223	7807
834	39271	7760
835	39317	7713
836	39362	7665
837	39411	7618
838	39458	7571
839	39497	7523
840	39541	7475
841	39589	7428
842	39627	7380
843	39671	7332
844	39715	7285
845	39766	7238
846	39817	7192
847	39862	7145
848	39909	7098
849	39958	7051
850	40006	7004
851	40052	6957
852	40096	6909
853	40150	6864
854	40194	6816
855	40240	6769
856	40283	6721
857	40330	6674
858	40377	6627
859	40426	6581
860	40472	6533
861	40515	6486
862	40558	6438
863	40604	6391
864	40651	6344
865	40697	6297
866	40743	6250
867	40789	6202
868	40837	6156
869	40885	6109
870	40933	6062
871	40976	6014
872	41024	5968
873	41070	5920
874	41122	5874
875	41168	5827
876	41211	5779
877	41255	5732
878	41301	5685
879	41352	5638
880	41398	5591
881	41443	5544
882	41490	5497
883	41535	5450
884	41579	5402
885	41625	5355
886	41668	5308
887	41711	5260
888	41759	5214
889	41810	5167
890	41860	5121
891	41907	5074
892	41950	5026
893	41998	4979
894	42046	4932
895	42097	4886
896	42143	4839
897	42190	4792
898	42232	4744
899	42277	4697
900	42321	4650
901	42365	4602
902	42413	4556
903	42453	4508
904	42495	4460
905	42547	4414
906	42609	4368
907	42657	4322
908	42703	4275
909	42751	4228
910	42796	4181
911	42841	4133
912	42892	4087
913	42941	4040
914	42983	3993
915	43021	3945
916	43068	3898
917	43116	3851
918	43165	3804
919	43211	3757
920	43259	3710
921	43307	3663
922	43356	3616
923	43406	3570
924	43453	3523
925	43500	3476
926	43546	3429
927	43591	3382
928	43637	3335
929	43685	3288
930	43730	3241
931	43777	3194
932	43825	3147
933	43876	3100
934	43925	3053
935	43976	3006
936	44024	2960
937	44065	2912
938	44108	2865
939	44152	2818
940	44196	2771
941	44242	2724
942	44289	2677
943	44336	2630
944	44379	2582
945	44427	2536
946	44477	2489
947	44525	2442
948	44569	2395
949	44613	2348
950	44660	2301
951	44708	2254
952	44756	2207
953	44804	2160
954	44855	2113
955	44911	2067
956	44969	2020
957	45022	1973
958	45071	1926
959	45113	1879
960	45161	1832
961	45211	1785
962	45259	1738
963	45307	1691
964	45357	1645
965	45401	1597
966	45449	1551
967	45497	1504
968	45545	1457
969	45590	1410
970	45634	1362
971	45676	1315
972	45723	1268
973	45768	1221
974	45819	1174
975	45870	1127
976	45918	1080
977	45963	1033
978	46005	986
979	46055	939
980	46101	892
981	46146	845
982	46184	798
983	46228	751
984	46280	704
985	46323	657
986	46369	610
987	46414	563
988	46454	516
989	46499	469
990	46537	422
991	46584	375
992	46630	328
993	46674	281
994	46719	234
995	46762	187
996	46804	140
997	46851	93
998	46893	46
999	46940	0
